"id","winner","rated","victory_status_class","base_time","add_time","total_time","white_rating","black_rating","rating_dif_abs","rating_dif_class","opening_class","opening_eco_mod","opening_ply"
"lKTxTrKz","white",1,0,5,5,17,2074,1908,166,1,2,241,4
"KcmaRSxt","black",1,1,5,5,10,1788,2067,279,-1,1,102,5
"6aDFIWBG","white",1,0,5,5,10,2060,1792,268,1,1,112,7
"JwFWnETl","black",1,0,2,10,14,1819,2052,233,-1,1,103,6
"8dRrl55X","white",1,0,10,0,10,2047,1710,337,1,1,105,8
"wFstU6H4","white",1,1,10,5,20,2136,2062,74,1,3,302,4
"MBiEb6b1","black",1,0,5,7,8,2081,2096,15,-1,1,130,4
"I68gWMT3","white",1,0,25,0,25,2063,2027,36,1,1,106,4
"jEV6APzw","white",1,0,5,21,46,2048,1924,124,1,2,244,6
"myf3zxVd","white",0,0,19,4,21,1804,1997,193,-1,2,247,9
"qtO43RJL","white",1,0,10,0,10,2051,2072,21,-1,2,270,6
"zI4GBeD7","white",1,0,5,21,28,2057,1923,134,1,2,244,6
"KEywC6kR","black",1,0,5,21,34,1922,2040,118,-1,2,250,9
"uc2tMYfY","white",1,0,30,1,31,2003,2078,75,-1,2,244,5
"bx2fK6DQ","white",1,0,5,10,14,1996,1618,378,1,2,244,5
"TAJtb4qg","black",1,0,10,4,13,1834,1994,160,-1,2,270,8
"pzqKLpeT","black",1,0,9,0,9,1867,1968,101,-1,2,250,11
"UUqJfPGz","white",1,0,15,10,22,1653,1711,58,-1,1,106,4
"WKCIzgls","black",1,0,10,5,17,1663,1706,43,-1,2,262,6
"3tX9qTuT","white",1,0,15,5,19,1692,1674,18,1,2,200,3
"We79CGAj","white",1,1,8,10,23,1709,1685,24,1,3,331,6
"SitO3W0e","white",1,1,15,0,15,1631,1698,67,-1,2,200,3
"M0yXzeAG","black",1,0,8,10,22,1708,1772,64,-1,0,40,4
"FaBFS4A6","black",1,0,8,10,27,1724,1545,179,1,3,320,5
"BceRT6ia","black",1,0,8,10,17,1723,1713,10,0,2,200,3
"FWZXrmbd","black",1,1,15,8,20,1642,1703,61,-1,3,300,2
"Kos4NQdt","white",1,1,8,10,16,1689,1770,81,-1,3,311,5
"45JKnaVt","white",1,0,10,10,20,1763,1698,65,1,0,20,2
"gjjlb3Wr","white",1,0,17,17,41,1693,1477,216,1,2,241,5
"QzdedoG5","white",1,0,8,5,15,1664,1706,42,-1,2,202,8
"Zj6afVMU","black",1,1,10,5,16,1500,1701,201,-1,2,200,3
"kq9JANOG","black",1,1,8,10,14,1704,1689,15,1,3,310,4
"jmgEVnjI","black",1,0,15,15,26,1680,1677,3,0,3,300,2
"TQmPPbZY","white",1,0,10,5,14,1757,1687,70,1,0,1,4
"TUD9thFU","black",1,0,5,8,15,1666,1675,9,0,3,300,3
"vU2xAawx","white",1,0,7,5,16,1663,1667,4,0,2,255,6
"K1R0h6S7","white",1,0,10,5,11,1651,1641,10,0,1,121,5
"p1VK0VtA","black",1,1,10,5,14,1654,1638,16,1,2,200,3
"4ogE3IlW","black",1,0,10,5,12,1680,1623,57,1,2,201,5
"iOFAKFSf","white",1,0,15,9,24,1610,1617,7,0,2,202,7
"vwXtmN4q","white",1,0,10,15,30,1754,1618,136,1,2,202,6
"CyfHdIci","black",1,1,10,15,30,1713,1602,111,1,2,200,2
"tYvi7FNG","black",1,1,15,10,21,1795,1581,214,1,2,200,3
"Kclpqrwl","black",1,0,10,5,13,1658,1565,93,1,2,201,5
"90tZY629","white",1,0,15,10,28,1721,1573,148,1,3,332,9
"7pRm0JTW","white",1,0,15,15,33,1557,1614,57,-1,2,238,9
"gMlM25Jr","black",1,0,15,10,21,1423,1500,77,-1,2,245,8
"bQ9duviD","black",1,0,10,10,21,1566,1694,128,-1,2,255,6
"l9zWUOip","black",0,1,25,0,25,1432,1493,61,-1,2,268,7
"w3ej43dD","white",1,0,15,1,16,1656,1577,79,1,3,300,2
"RRNRhKjM","white",1,0,10,10,14,1557,1713,156,-1,1,101,6
"WRCq0dJs","white",1,0,7,8,14,1686,1567,119,1,2,241,5
"zQKoX8kb","white",1,0,5,8,18,1606,1579,27,1,2,200,3
"3YW2jdCY","white",1,0,10,10,18,1519,1597,78,-1,2,220,3
"I81GWfOf","black",1,0,10,0,10,1619,1452,167,1,1,100,2
"hvFyJb0x","white",1,1,10,10,16,1610,1500,110,1,2,242,6
"eFNI4mt5","white",1,0,8,5,11,1612,1626,14,-1,2,202,9
"arV5860k","black",1,1,10,15,24,1633,1610,23,1,2,200,3
"RyXZUOxL","white",1,1,10,15,39,1595,1583,12,1,2,260,5
"QAlTkfST","white",1,1,10,5,15,1696,1607,89,1,2,202,9
"YfM71i8S","black",1,0,10,5,15,1743,1586,157,1,2,200,3
"6t02ANX0","black",1,0,10,15,22,1609,1564,45,1,2,202,7
"2B0zqXoo","white",1,0,15,0,15,1508,1586,78,-1,3,300,3
"y7XMwJYp","white",1,1,10,15,34,1573,1465,108,1,2,240,4
"9YwhzbXx","black",0,0,5,5,16,1459,1494,35,-1,1,150,4
"bhMDeuOb","black",1,0,20,1,20,1061,1133,72,-1,2,220,3
"xgnbnW0a","black",1,0,5,5,12,1210,1151,59,1,0,40,3
"30UDeFhA","white",1,1,10,0,10,1812,1797,15,1,2,230,4
"gsFBil3q","black",1,0,15,60,81,1628,1581,47,1,2,250,8
"kkXlHLyv","white",1,0,15,60,114,1577,1571,6,0,1,101,4
"AcdNj67e","black",1,1,15,60,69,1638,1497,141,1,2,201,5
"LW7kerZs","white",1,0,15,60,61,1605,1403,202,1,2,250,6
"kMQp9E8m","black",1,0,15,60,105,1705,1348,357,1,0,10,2
"eQihBvoU","white",1,0,15,60,57,1691,1335,356,1,1,101,4
"p0OlEIGo","black",1,0,15,60,73,1253,1679,426,-1,1,120,2
"6IrjVPc0","white",1,1,15,60,68,1238,1811,573,-1,1,154,6
"mjh5u1Ig","white",1,0,15,60,62,1806,1199,607,1,2,241,5
"SFdjqzyr","black",1,1,15,60,69,1200,1802,602,-1,1,120,2
"quFoCNcW","black",1,1,15,60,119,1258,1793,535,-1,1,120,3
"NaZOjwJY","white",1,0,15,60,96,1782,1325,457,1,2,246,7
"nnmASxQ6","white",1,0,15,60,72,1770,1321,449,1,1,101,4
"cHhT3SPI","black",1,1,15,60,73,1387,1739,352,-1,3,300,2
"3XqyqiLZ","white",1,0,15,60,48,1697,1405,292,1,2,241,5
"EhpRGXtG","white",1,1,15,60,80,1687,1108,579,1,2,200,4
"duhtxKw6","black",1,0,15,5,22,1200,1670,470,-1,3,300,2
"UkIkOmsC","white",0,0,7,2,8,1624,1620,4,0,2,221,9
"j67nCume","black",0,0,7,2,7,1325,1620,295,-1,2,224,4
"DVaFUcT5","white",0,1,7,2,9,1677,1620,57,1,2,250,9
"WCNAaQop","white",1,1,15,60,80,1595,1416,179,1,2,200,3
"EAJcH3eg","black",1,1,30,8,43,1292,1500,208,-1,0,0,1
"9afF21x3","black",1,1,15,30,58,1325,1087,238,1,0,2,1
"3VVXjBdq","black",0,1,20,30,43,1033,1263,230,-1,1,100,2
"50lpeeqk","black",1,0,20,8,43,1500,1501,1,0,0,13,2
"rWsEjbCP","white",0,1,5,8,11,1521,1500,21,1,0,4,2
"A0ABE4mU","black",1,0,7,10,21,1490,1672,182,-1,2,264,6
"RShqYnTE","black",0,1,15,10,21,828,1192,364,-1,0,0,1
"dfzScT9T","white",1,0,15,0,15,1245,906,339,1,2,200,3
"IZNcJohU","white",0,0,5,15,6,1090,837,253,1,1,100,2
"diDbOfF7","white",1,0,15,0,15,1576,910,666,1,0,0,1
"5TX06d8M","black",0,0,20,0,20,838,1642,804,-1,0,0,1
"XmyMR6jh","white",1,0,8,5,11,1317,920,397,1,1,107,2
"BmOzKmNt","white",1,0,20,20,38,1500,850,650,1,0,6,3
"IeVeGO1Y","white",1,0,10,0,10,1497,924,573,1,1,107,2
"g80nbDK0","white",1,1,20,20,23,1500,848,652,1,1,100,2
"l8c3NsKI","white",1,1,4,180,25,1129,954,175,1,1,100,2
"ZE0KfFDB","black",1,1,4,180,136,996,1108,112,-1,0,0,2
"pOhqdsDX","black",1,0,14,10,14,1233,1391,158,-1,2,220,2
"mFTRqHb6","black",1,0,20,0,20,1260,1211,49,1,2,200,3
"BYtBrFFr","black",1,0,30,12,30,1300,1064,236,1,2,220,2
"kaoFH15Q","white",1,0,15,5,21,1344,1325,19,1,2,220,3
"N2XZNEWU","black",1,1,10,0,10,1350,1566,216,-1,2,230,3
"SRgsEaEZ","black",1,1,5,8,10,1367,1533,166,-1,2,234,6
"tGNI3U5C","white",1,1,5,8,9,1526,1388,138,1,2,248,9
"SQ2OeL4P","black",1,0,60,13,65,1180,1341,161,-1,2,220,3
"wwt7s6DD","white",1,0,60,13,76,1310,1189,121,1,2,230,3
"QP0lSH0f","white",1,0,8,0,8,1763,1318,445,1,2,224,4
"hnnyaZCS","white",1,1,7,5,17,1582,1769,187,-1,0,21,3
"6dAMKt6H","black",0,1,7,2,10,1375,1473,98,-1,2,200,3
"MB9KTXzY","white",0,1,7,2,10,1300,1375,75,-1,2,240,4
"mNUgDFi4","black",0,0,7,2,9,1368,1484,116,-1,2,242,5
"a9QJWcax","white",0,0,7,2,9,1484,1303,181,1,2,224,4
"3Am4pdqH","white",0,1,7,2,8,1368,1484,116,-1,2,240,4
"jKIr9VGq","black",1,0,5,8,5,1720,1500,220,1,0,1,2
"UARC8cjg","white",1,0,10,2,10,1461,828,633,1,2,220,2
"rMpU0RVy","black",1,0,10,2,10,830,1460,630,-1,3,300,2
"16mFMgmE","white",1,0,10,2,10,1459,832,627,1,2,200,2
"uvfn971W","white",1,0,9,4,9,1442,834,608,1,2,200,2
"dGom89h7","black",1,0,5,8,5,835,1754,919,-1,3,300,2
"QdhBOeal","white",1,0,5,8,5,1376,838,538,1,0,0,1
"zcJqkBjq","black",1,0,5,8,5,842,1374,532,-1,0,40,1
"4cQzOBkv","white",1,0,5,8,5,1373,846,527,1,0,0,1
"7qleuEwu","black",1,0,5,8,5,850,1371,521,-1,0,40,2
"Mx0NJuPQ","white",1,0,5,8,5,1369,854,515,1,0,0,1
"4WKk2dCZ","black",1,0,5,8,5,858,1368,510,-1,0,40,1
"lpZJDDjJ","white",1,0,5,8,5,1366,863,503,1,0,0,1
"PTLzslb7","black",1,0,5,8,5,868,1364,496,-1,0,40,1
"O7n8iZWJ","white",1,0,5,8,5,1362,873,489,1,0,0,1
"LqMVvLn2","black",1,0,5,8,5,878,1361,483,-1,0,40,2
"9E9voFfh","white",1,0,5,8,5,1359,884,475,1,4,400,1
"KD0GBEsE","black",1,0,5,8,5,890,1357,467,-1,0,40,2
"nDNpq0ea","white",1,0,5,8,5,1355,897,458,1,0,0,2
"7FHNZSu8","black",1,0,5,8,5,904,1353,449,-1,2,220,2
"6BAfe3lX","white",1,0,5,8,5,1351,912,439,1,0,4,2
"be0jGBJq","black",1,0,5,8,5,920,1348,428,-1,3,300,2
"YAULcOWG","white",1,0,5,8,5,1346,930,416,1,0,0,1
"XvrDr5sR","black",1,0,5,8,5,940,1343,403,-1,3,300,2
"cOE8U73J","white",1,0,5,8,5,1341,952,389,1,0,0,1
"OUhU84P8","black",1,0,5,8,5,965,1338,373,-1,2,220,2
"koNTdAb5","white",1,0,5,8,5,1335,981,354,1,1,101,2
"GIFSBoOO","black",1,0,5,8,5,981,1335,354,-1,3,300,2
"fmknzWv3","white",1,0,5,8,5,1332,1001,331,1,1,100,2
"uaOhh5yA","black",1,0,5,8,5,1025,1328,303,-1,3,300,2
"Ff2jMUU7","white",1,0,5,8,5,1324,1058,266,1,1,100,2
"r0FWFuOI","black",1,0,5,8,5,1106,1319,213,-1,3,300,2
"4Su68tU5","white",1,0,5,8,5,1319,1106,213,1,2,200,2
"A4itigSz","black",1,0,5,8,5,1197,1312,115,-1,0,0,2
"CCWo4ltH","white",1,0,5,8,5,1302,1500,198,-1,2,200,2
"fdGB2EKs","black",1,0,10,5,17,1420,1443,23,-1,2,265,6
"THo6esg0","white",1,0,12,8,22,1429,1461,32,-1,3,330,4
"Tkiv1j1D","black",1,0,10,0,10,1384,1447,63,-1,3,330,8
"6Fiv50Oy","white",1,0,8,0,8,1490,1463,27,1,2,250,9
"labGlQjX","white",1,0,12,10,20,1370,1487,117,-1,2,244,4
"KSJQ6KCq","white",1,0,5,5,12,1464,1425,39,1,0,21,3
"Y9s1T9mk","black",1,1,5,5,17,1506,1294,212,1,0,21,3
"z3WkVfGN","white",1,0,5,5,11,1499,1364,135,1,0,21,3
"wB0JvCgZ","white",1,1,5,5,18,1487,1527,40,-1,0,21,3
"msPjCJSh","white",1,1,5,5,11,1476,1452,24,1,0,13,2
"o3kCxHhl","white",1,0,5,5,12,1467,1408,59,1,0,10,2
"obUpzyXO","black",1,1,5,5,10,1489,1453,36,1,0,1,2
"ATKmRg9n","white",1,0,5,5,12,1510,1346,164,1,0,21,3
"RFp3Cb06","black",0,0,7,2,8,1206,1517,311,-1,2,262,6
"Rsd6bzFM","white",1,1,5,5,9,1487,1542,55,-1,0,10,2
"lgcLPFpX","white",1,1,5,5,10,1524,1436,88,1,0,22,4
"rhmpLILU","white",1,1,5,5,16,1519,1288,231,1,0,13,2
"JExCwPeS","black",1,0,5,5,18,1545,1498,47,1,0,1,2
"brH1Q9b5","white",1,0,5,5,10,1538,1423,115,1,0,21,3
"0M8nue2Q","black",1,1,5,5,10,1568,1408,160,1,0,1,4
"6LG2NZ9A","white",1,1,5,5,12,1563,1351,212,1,0,21,3
"4GtgMWjI","white",1,0,5,5,7,1554,1479,75,1,0,11,2
"rsXrB5G7","white",0,1,5,5,9,1559,1451,108,1,0,34,3
"Z569FT1x","white",0,0,5,5,6,1551,1459,92,1,0,34,3
"bGPZi1cB","white",1,0,5,5,10,1558,1414,144,1,0,22,4
"Gphdsfkj","white",1,0,5,5,11,1544,1354,190,1,0,21,3
"gwHmSoqe","white",1,0,5,5,10,1535,1447,88,1,0,10,2
"aW7FEakr","black",1,1,5,5,12,1568,1469,99,1,0,1,2
"PSUtk7tt","black",1,0,5,5,8,1583,1461,122,1,0,10,2
"0WUp69CT","white",1,0,5,5,10,1571,1437,134,1,0,13,2
"cwrOFnQE","white",1,0,5,5,6,1565,1393,172,1,0,21,3
"f8UPKsq0","black",0,0,5,5,10,1566,1317,249,1,0,21,4
"rkd4ycqo","white",1,1,5,5,12,1558,1389,169,1,0,34,3
"pVDash12","white",1,0,5,5,10,1547,1543,4,0,0,1,2
"fj6Swf2X","black",1,1,5,5,11,1560,1531,29,1,0,10,1
"outicuh8","black",0,1,5,8,12,1487,1107,380,1,2,200,3
"ifjn3ifo","black",1,0,4,6,16,1248,1500,252,-1,2,240,4
"vu9h02t1","black",1,0,5,8,13,1310,1304,6,0,1,101,2
"5IluyRFW","black",1,0,5,8,10,1689,1432,257,1,2,260,6
"GLGqLMMr","black",1,0,10,10,21,1528,1500,28,1,0,0,2
"uo2SIR7z","white",1,0,5,8,13,1447,1389,58,1,2,220,3
"c43FHhtK","white",1,0,5,5,10,1278,1104,174,1,2,255,6
"0ySmcPx9","black",1,1,15,5,21,1403,1291,112,1,2,220,2
"WDmTiKSU","white",1,1,25,4,29,1387,1562,175,-1,1,100,2
"TF5yiHLD","white",1,1,8,7,10,1412,1399,13,1,2,255,6
"tHqhvSx6","black",1,1,20,5,30,1403,1387,16,1,2,220,3
"g8Wbvj8B","white",1,0,4,18,19,1321,1401,80,-1,2,246,5
"GQKDTQ2l","black",1,0,5,8,20,1368,1391,23,-1,3,301,4
"XX2WM5nO","black",1,0,11,8,19,1404,1346,58,1,1,110,2
