"id","winner","base_time","add_time","total_time","game_class","opening_class","opening_eco_mod","rating_dif","same_elo_band_flag","same_elo_step_flag","white_elo_band","white_castle_turn_limited","white_castle_before_five","white_castle_before_ten","white_castle_before_fifteen","white_checks_limited_count","white_checks_before_five","white_checks_before_ten","white_checks_before_fifteen","white_loss_before_five","white_loss_before_ten","white_loss_before_fifteen","black_elo_band","black_castle_turn_limited","black_castle_before_five","black_castle_before_ten","black_castle_before_fifteen","black_checks_before_five","black_checks_before_ten","black_checks_before_fifteen","black_checks_limited_count","black_loss_before_five","black_loss_before_ten","black_loss_before_fifteen","player_as_white_fav_opening_class","player_as_white_fav_opening_eco","player_white_total_games_count","player_black_total_games_count"
"jsbvnGJJ","white",10,0,10,1,1,110,301,0,0,4,NA,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,1,2,1,1,4,"B","B10",1,29
"KzHbwlzn","white",10,0,10,1,0,41,77,1,1,2,6,0,1,1,0,0,0,0,0,1,4,2,7,0,1,1,0,0,1,1,0,1,3,"A","D00",29,1
"4KCF9Y7w","white",15,0,15,2,2,268,82,1,1,0,11,0,0,1,2,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,2,4,6,"C","C68",1,6
"NKoYHz73","white",9,8,15,1,2,200,-97,1,1,0,15,0,0,1,0,0,0,0,1,2,5,0,15,0,0,1,0,0,1,2,0,2,3,"C","C00",1,6
"LC3wN8lP","black",10,0,10,1,1,120,95,1,1,0,5,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,3,"B","B20",1,6
"fak0RT9a","white",20,0,20,2,2,240,180,1,1,0,5,1,1,1,2,0,0,1,1,2,4,0,0,0,0,0,0,0,1,2,0,2,7,"C","C40",6,1
"WtUrJr11","black",20,0,20,2,2,241,133,1,1,0,5,1,1,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,1,2,0,0,2,"C","C40",6,1
"RI6uVUzh","white",9,4,13,1,2,246,-138,1,1,0,14,0,0,1,0,0,0,0,0,2,2,0,10,0,1,1,0,1,1,1,0,2,3,"B","B20",3,6
"6UmAiL2H","white",10,0,10,1,2,201,399,0,0,4,14,0,0,1,1,0,1,1,1,2,3,2,11,0,0,1,0,0,0,0,1,3,4,"C","C01",1,1
"GMVFisvA","black",10,0,10,1,2,200,-50,1,1,3,6,0,1,1,0,0,0,0,1,3,4,3,8,0,1,1,0,0,0,0,1,2,3,"C","C65",3,8
